nomecategoria,objetofoco,descricaoregra
Boas Práticas,Geral/Nenhum,"Atributos de quantidade escolher entre os tipos a seguir, dependendo da faixa de"
Boas Práticas,Geral/Nenhum,Devem ser evitados tipos de dados definidos pelos usuários;
Boas Práticas,Geral/Nenhum,CREATE TRIGGER NomeTrigger
Boas Práticas,Geral/Nenhum,DROP TRIGGER NomeTrigger
Boas Práticas,Geral/Nenhum,IF EXISTS (SELECT 1 FROM sysobjects WHERE name = 'NomeTrigger')
Boas Práticas,Geral/Nenhum,CREATE PROCEDURE NomeProcedure
Boas Práticas,Geral/Nenhum,DROP PROCEDURE NomeProcedure
Boas Práticas,Geral/Nenhum,IF EXISTS (SELECT 1 FROM sysobjects WHERE name = ‘NomeProcedure')
Boas Práticas,Geral/Nenhum,de procedures e triggers armazenadas no repositório.
Boas Práticas,Geral/Nenhum,"Preservar a cláusula abaixo no script, antes do cabeçalho, a fim de agilizar a criação"
Boas Práticas,Geral/Nenhum,Preferencialmente não utilizar a estrutura de programação cursor;
Boas Práticas,Geral/Nenhum,Unique e Foreign);
Boas Práticas,Geral/Nenhum,"Integridade referencial deve ser implementada através de constraints (Primary Key,"
Boas Práticas,Geral/Nenhum,dos tipos texto e imagem;
Boas Práticas,Geral/Nenhum,"obrigatoriamente, através de Stored Procedure, exceto updates e inserts para colunas"
Boas Práticas,Geral/Nenhum,"Todos os comandos SQL utilizados por programas devem ser realizados,"
Boas Práticas,Geral/Nenhum,"Para programação nos objetos de dados (procedures, triggers, ...):"
Nomenclatura de Objetos,Procedure,sem a indicação do banco
Nomenclatura de Objetos,Procedure,"O prefixo sp é necessário para que seja possível a pesquisa da mesma,"
Nomenclatura de Objetos,Procedure,"por exemplo: sp_help, sp_who, etc."
Nomenclatura de Objetos,Procedure,"é o banco padrão de armazenamento de procedure de sistema, como"
Nomenclatura de Objetos,Procedure,"Obs.: Todas as funções ficarão armazenadas no banco sybsystemprocs, que"
Nomenclatura de Objetos,Procedure,"da função, acrescenta-se um complemento / descrição para melhor definição da"
Nomenclatura de Objetos,Procedure,Complemento: Opcional. Caso o objetivo não seja suficiente para traduzir a finalidade
Nomenclatura de Objetos,Procedure,Objetivo: usar um substantivo que indique a finalidade a função
Nomenclatura de Objetos,Procedure,"prefixo db do nome do banco, ex: sp_f_arrec)"
Nomenclatura de Objetos,Procedure,"(tabela, procedure, view, etc) pertencente ao respectivo banco (sugestão: retirar o"
Nomenclatura de Objetos,Procedure,Prefixo p_f_nomedobanco: identifica uma função que referencia objeto de banco
Nomenclatura de Objetos,Procedure,sp_f_Nomedobanco_Objetivo[Complemento] ➡ Roda apenas de um banco de dados
Nomenclatura de Objetos,Procedure,"sistema, que são comuns a todos os bancos."
Nomenclatura de Objetos,Procedure,Prefixo sp_f identifica uma função para manipular strings e/ou números ou objetos de
Nomenclatura de Objetos,Procedure,"sp_f_Objetivo[Complemento] ➡ Função Global, ou seja roda de qualquer banco."
Nomenclatura de Objetos,Procedure,4.1 Função de Usuário:
Nomenclatura de Objetos,Procedure,Login Varchar(30)
Nomenclatura de Objetos,Procedure,País Varchar(60)
Nomenclatura de Objetos,Procedure,Município Varchar(60)
Nomenclatura de Objetos,Procedure,Bairro Varchar(60)
Nomenclatura de Objetos,Procedure,Complemento Varchar(65)
Nomenclatura de Objetos,Procedure,Logradouro Varchar(60)
Nomenclatura de Objetos,Procedure,Fax Varchar(10)
Nomenclatura de Objetos,Procedure,Telefone Varchar(10)
Nomenclatura de Objetos,Procedure,E-mail Varchar(60)
Nomenclatura de Objetos,Procedure,Pessoas Varchar(50)
Nomenclatura de Objetos,Procedure,Atributos Tipos de Dados
Nomenclatura de Objetos,Procedure,Atributos de Uso Comum:
Nomenclatura de Objetos,Procedure,Smallmoney 214.748.3648 a 214.748.3648 4 bytes
Nomenclatura de Objetos,Procedure,"922.337.203.685.477,5807"
Nomenclatura de Objetos,Procedure,"Money 922.337.203.685.477,5807 a 8 bytes"
Nomenclatura de Objetos,Procedure,Binary(n) Range igual à página do servidor N bytes
Nomenclatura de Objetos,Procedure,Real Depende da máquina 4 bytes
Nomenclatura de Objetos,Procedure,Double precision Depende da máquina 8 bytes
Nomenclatura de Objetos,Procedure,Float Depende da máquina 4 ou 8 bytes
Nomenclatura de Objetos,Procedure,precisão: minutos
Nomenclatura de Objetos,Procedure,Smalldatetime 1/1/1900 a 6/6/2079 4 bytes
Nomenclatura de Objetos,Procedure,precisão: milissegundos
Nomenclatura de Objetos,Procedure,Datetime 1/1/1753 a 31/12/9999 8 bytes
Nomenclatura de Objetos,Procedure,"Numeric(p,s) - 10E38 a 10E38 - 1 Depende da precisão (P)"
Nomenclatura de Objetos,Procedure,Varchar(n) Range igual à página do servidor N bytes
Nomenclatura de Objetos,Procedure,1954 (lock datarow)
Nomenclatura de Objetos,Procedure,2K = 1948 caracteres (lock allpage) e
Nomenclatura de Objetos,Procedure,Char(n) Range igual à página do servidor N bytes
Nomenclatura de Objetos,Procedure,Image Até 2.147.483.647 bytes
Nomenclatura de Objetos,Procedure,Text Até 2.147.483.647 bytes
Nomenclatura de Objetos,Procedure,Tinyint 0 a 255 1 byte
Nomenclatura de Objetos,Procedure,Smallint - 32.768 a 32.767 2 bytes
Nomenclatura de Objetos,Procedure,Int - 2.147.483.648 a 2.147.483.647 4 bytes
Nomenclatura de Objetos,Procedure,Bit 0 ou 1 1 byte
Nomenclatura de Objetos,Procedure,Tipos de dados Faixa de valores Espaço ocupado
Nomenclatura de Objetos,Procedure,4. Tipos de Dados:
Nomenclatura de Objetos,Procedure,Usar uma trigger para cada evento.
Nomenclatura de Objetos,Procedure,"sigla do evento (I = Inserir, A = Alterar, E = Excluir)."
Nomenclatura de Objetos,Procedure,Usar o prefixo “tg” seguido do nome da tabela onde está sendo disparada ação e da
Nomenclatura de Objetos,Procedure,prejudique a performance.
Nomenclatura de Objetos,Procedure,"do código. Dar preferência à codificação mais longa, porém mais clara, desde que não"
Nomenclatura de Objetos,Procedure,"Evitar o aninhamento excessivo de comandos, o que costuma dificultar a manutenção"
Nomenclatura de Objetos,Procedure,"Caso seja necessário, usar duas, três ou mais letras para diferenciar os alias."
Nomenclatura de Objetos,Procedure,"Tratando-se nome de tabela composto, usar as primeiras letras das palavras;"
Nomenclatura de Objetos,Procedure,letra do nome da tabela;
Nomenclatura de Objetos,Procedure,"Quando houver join, as colunas devem ser prefixadas de preferência com a primeira"
Nomenclatura de Objetos,Procedure,"dados (WHERE, FROM, NUMERIC, etc...);"
Nomenclatura de Objetos,Procedure,"Utilização das palavras reservadas SQL em letras maiúsculas, inclusive os tipos de"
Nomenclatura de Objetos,Procedure,"com comentários desnecessários, que descrevem procedimentos óbvios;"
Nomenclatura de Objetos,Procedure,adicionais que auxiliem a compreensão de problemas complexos. Não poluir o código
Nomenclatura de Objetos,Procedure,"Ao longo da procedure, inserir comentários sempre que necessário. Comentários"
Nomenclatura de Objetos,Procedure,"manutenção, pode-se usar para indentar a ferramenta SQL Expert;"
Nomenclatura de Objetos,Procedure,Indentar o código de modo a tornar a codificação clara e facilitar o trabalho de
Nomenclatura de Objetos,Procedure,de problemas no código;
Nomenclatura de Objetos,Procedure,"Identificar as alterações efetuadas na área apropriada, para permitir fácil localização"
Nomenclatura de Objetos,Procedure,"@nProcesso numeric(13,0) = 0 // Número do Processo"
Nomenclatura de Objetos,Procedure,"@dAbertura smalldatetime, // Cadastramento do Processo"
Nomenclatura de Objetos,Procedure,*************************************************************************************/
Nomenclatura de Objetos,Procedure,** OBJETIVO: Seleciona processos cadastrados a partir de uma determinada data.
Nomenclatura de Objetos,Procedure,** DATA: 01/08/03
Nomenclatura de Objetos,Procedure,** CRIADA POR: Nome do desenvolvedor
Nomenclatura de Objetos,Procedure,/***********************************************************************************
Nomenclatura de Objetos,Procedure,CREATE PROCEDURE ProcessoS
Nomenclatura de Objetos,Procedure,"procedure deve acrescentar o nome do responsável pela alteração, a data e o objetivo"
Nomenclatura de Objetos,Procedure,Colocar a data de criação e o responsável pela criação da procedure (quem alterar a
Nomenclatura de Objetos,Procedure,Fazer uma descrição clara e objetiva da função da procedure;
Nomenclatura de Objetos,Procedure,informações seguir o padrão abaixo:
